Name	Value
data_store_version	3
network_location_opt_in	1
use_location_for_services	1
client_id	android-vf-au-rvc3
search_client_id	ms-android-vf-au-rvc3
chrome_client_id	ms-android-vf-au-rvc3
maps_client_id	gmm-android-google
youtube_client_id	mvapp-android-google
market_client_id	am-android-vf-au
voicesearch_client_id	ms-android-vf-au-rvc3
playtx_client_id	play-ms-android-google
playax_client_id	play-ad-ms-android-google
program_client_id	pg-android-google
backup_enabled:com.android.calllogbackup	1
user_full_data_backup_aware	1
backup_enabled:com.android.providers.telephony	1
backup_encryption_opt_in_displayed	1
